LATITUDE,LONGITUDE,ID
53.3625,-6.23689,1mb
53.3377,-6.26644,2mb
53.333,-6.27467,3mb
53.3665,-6.31902,4mb
53.3444,-6.23343,5mb
53.2885,-6.11431,6mb
53.3423,-6.26244,7mb
53.377,-6.26981,8mb
53.2949,-6.20292,9mb
53.377,-6.26973,10mb
53.3207,-6.28538,11mb
53.3625,-6.23698,12mb
53.2949,-6.20284,13mb
53.377,-6.26989,14mb
53.3414,-6.28383,15mb
53.3632,-6.23582,16mb
53.3079,-6.22887,17mb
53.3452,-6.23801,18mb
53.3346,-6.27462,19mb
53.377,-6.26978,20mb
53.3399,-6.26111,21mb
53.377,-6.2699,22mb
53.3363,-6.24804,23mb
53.3118,-6.27475,24mb
53.3558,-6.25718,25mb
53.377,-6.26984,26mb
53.3345,-6.27447,27mb
53.2949,-6.203,28mb
53.3451,-6.27016,29mb
53.377,-6.26982,30mb
53.3767,-6.26982,31mb
53.3446,-6.26731,32mb
53.3384,-6.24287,33mb
53.2963,-6.18439,34mb
53.3324,-6.2535,35mb
53.2944,-6.13374,36mb
53.317,-6.21489,37mb
53.345,-6.27006,38mb
53.2964,-6.18444,39mb
53.3769,-6.26982,40mb
53.3608,-6.27239,41mb
53.2963,-6.18434,42mb
53.2825,-6.14426,43mb
53.2891,-6.11378,44mb
53.3657,-6.32256,45mb
53.3557,-6.25755,46mb
53.377,-6.26987,47mb
53.3119,-6.27481,48mb
53.363,-6.2588,49mb
53.2945,-6.1345,50mb
53.3817,-6.24164,51mb
53.3816,-6.24178,52mb
53.3625,-6.23692,53mb
53.333,-6.2747,54mb
53.3665,-6.31903,55mb
53.3445,-6.23349,56mb
53.2885,-6.11429,57mb
53.2949,-6.20297,58mb
53.377,-6.26971,59mb
53.3208,-6.28538,60mb
53.2949,-6.20285,61mb
53.3413,-6.28378,62mb
53.3632,-6.23581,63mb
53.3451,-6.23806,64mb
53.3346,-6.27461,65mb
53.3399,-6.26109,66mb
53.3119,-6.27478,67mb
53.3559,-6.25716,68mb
53.3346,-6.2745,69mb
53.3451,-6.27012,70mb
53.3386,-6.24298,71mb
53.3323,-6.25352,72mb
53.2944,-6.13375,73mb
53.317,-6.21482,74mb
53.345,-6.27011,75mb
53.2964,-6.18434,76mb
53.2964,-6.18435,77mb
53.2825,-6.14429,78mb
53.2891,-6.11381,79mb
53.3661,-6.27173,80mb
53.3657,-6.32257,81mb
53.3559,-6.25748,82mb
53.3772,-6.26982,83mb
53.363,-6.25874,84mb
53.2946,-6.13452,85mb
53.3816,-6.24165,86mb
53.3816,-6.2417,87mb
53.3625,-6.23696,88mb
53.333,-6.27473,89mb
53.3665,-6.31913,90mb
53.3449,-6.23306,91mb
53.2885,-6.11428,92mb
53.3423,-6.26245,93mb
53.2949,-6.20298,94mb
53.377,-6.26972,95mb
53.3625,-6.23688,96mb
53.3413,-6.28375,97mb
53.3451,-6.23804,98mb
53.3399,-6.26107,99mb
53.377,-6.26988,100mb
53.3363,-6.24806,101mb
53.3119,-6.27477,102mb
53.3559,-6.25714,103mb
53.3346,-6.27453,104mb
53.3769,-6.26983,105mb
53.3446,-6.26732,106mb
53.3386,-6.24299,107mb
53.2964,-6.18436,108mb
53.3323,-6.25351,109mb
53.2944,-6.13376,110mb
53.3171,-6.21492,111mb
53.3451,-6.27007,112mb
53.2822,-6.14384,113mb
53.2891,-6.11382,114mb
53.3661,-6.27177,115mb
53.377,-6.26994,116mb
53.3119,-6.27483,117mb
53.363,-6.25875,118mb
53.3817,-6.24168,119mb
53.3817,-6.24171,120mb
53.3625,-6.23695,121mb
53.3331,-6.27472,122mb
53.3665,-6.31908,123mb
53.3447,-6.23342,124mb
53.2885,-6.11427,125mb
53.3208,-6.2854,126mb
53.3625,-6.23691,127mb
53.3413,-6.28372,128mb
53.3631,-6.23578,129mb
53.3079,-6.22888,130mb
53.377,-6.26977,131mb
53.3363,-6.24802,132mb
53.3119,-6.27479,133mb
53.3559,-6.25713,134mb
53.345,-6.27012,135mb
53.377,-6.26983,136mb
53.3385,-6.24305,137mb
53.2964,-6.18437,138mb
53.3323,-6.25342,139mb
53.2944,-6.13377,140mb
53.3171,-6.21491,141mb
53.3452,-6.26996,142mb
53.2823,-6.14381,143mb
53.3661,-6.27175,144mb
53.3559,-6.25754,145mb
53.377,-6.26992,146mb
53.3817,-6.24173,147mb
53.3377,-6.26642,148mb
53.3331,-6.27471,149mb
53.3665,-6.3191,150mb
53.3443,-6.23335,151mb
53.2885,-6.1143,152mb
53.2949,-6.20296,153mb
53.3208,-6.28539,154mb
53.3625,-6.23693,155mb
53.3631,-6.23583,156mb
53.3079,-6.22893,157mb
53.3452,-6.23819,158mb
53.3362,-6.24813,159mb
53.3346,-6.27455,160mb
53.3451,-6.27009,161mb
53.3385,-6.24294,162mb
53.2962,-6.18446,163mb
53.3323,-6.25348,164mb
53.3167,-6.21532,165mb
53.3451,-6.27008,166mb
53.2963,-6.18433,167mb
53.2963,-6.18435,168mb
53.2825,-6.14392,169mb
53.3558,-6.25754,170mb
53.3119,-6.27482,171mb
53.363,-6.25873,172mb
53.3817,-6.24166,173mb
53.3377,-6.26636,174mb
53.333,-6.27472,175mb
53.3445,-6.23331,176mb
53.3208,-6.28542,177mb
53.3413,-6.28371,178mb
53.3632,-6.23578,179mb
53.3451,-6.23814,180mb
53.3346,-6.27464,181mb
53.3363,-6.24794,182mb
53.3559,-6.25712,183mb
53.3346,-6.27457,184mb
53.3451,-6.2701,185mb
53.3385,-6.24293,186mb
53.2962,-6.18445,187mb
53.3171,-6.21487,188mb
53.3451,-6.27006,189mb
53.2963,-6.18436,190mb
53.3608,-6.27241,191mb
53.2825,-6.14395,192mb
53.366,-6.27176,193mb
53.3657,-6.32255,194mb
53.3558,-6.25753,195mb
53.377,-6.26991,196mb
53.2945,-6.13451,197mb
53.3817,-6.24167,198mb
53.3625,-6.23694,199mb
53.3377,-6.26641,200mb
53.295,-6.20288,201mb
53.3208,-6.28537,202mb
53.3414,-6.28368,203mb
53.3632,-6.23584,204mb
53.3452,-6.23817,205mb
53.3345,-6.27444,206mb
53.2962,-6.18444,207mb
53.3288,-6.27583,208mb
53.2963,-6.18431,209mb
53.3608,-6.2724,210mb
53.2824,-6.14428,211mb
53.2891,-6.11383,212mb
53.366,-6.27175,213mb
53.3657,-6.32253,214mb
53.363,-6.25872,215mb
53.3817,-6.24162,216mb
53.3377,-6.26653,217mb
53.333,-6.27471,218mb
53.3664,-6.3191,219mb
53.3447,-6.23318,220mb
53.3423,-6.26249,221mb
53.295,-6.20289,222mb
53.3413,-6.28364,223mb
53.3632,-6.23587,224mb
53.3079,-6.22884,225mb
53.3452,-6.23813,226mb
53.3773,-6.26984,227mb
53.3696,-6.25427,228mb
53.3559,-6.25702,229mb
53.3346,-6.27446,230mb
53.2949,-6.20293,231mb
53.3774,-6.27031,232mb
53.3451,-6.27011,233mb
53.3386,-6.24297,234mb
53.2962,-6.18443,235mb
53.3288,-6.27581,236mb
53.3169,-6.21482,237mb
53.3451,-6.27017,238mb
53.2963,-6.18427,239mb
53.2825,-6.14434,240mb
53.3661,-6.27179,241mb
53.3558,-6.25751,242mb
53.3629,-6.25876,243mb
53.2945,-6.13453,244mb
53.3817,-6.24155,245mb
53.3377,-6.26655,246mb
53.3665,-6.31907,247mb
53.3449,-6.23275,248mb
53.3423,-6.2625,249mb
53.295,-6.20292,250mb
53.3413,-6.28357,251mb
53.3452,-6.23804,252mb
53.377,-6.26997,253mb
53.3695,-6.25427,254mb
53.356,-6.25721,255mb
53.3345,-6.27456,256mb
53.3773,-6.27009,257mb
53.3453,-6.27019,258mb
53.3385,-6.24301,259mb
53.3288,-6.27585,260mb
53.3173,-6.21504,261mb
53.345,-6.27007,262mb
53.2963,-6.18428,263mb
53.2824,-6.14424,264mb
53.3661,-6.27178,265mb
53.3778,-6.27048,266mb
53.363,-6.25879,267mb
53.3817,-6.24157,268mb
53.3816,-6.24171,269mb
53.3376,-6.26647,270mb
53.3665,-6.31906,271mb
53.3449,-6.23298,272mb
53.2885,-6.11433,273mb
53.3414,-6.28355,274mb
53.3632,-6.23586,275mb
53.3346,-6.27463,276mb
53.377,-6.26993,277mb
53.3696,-6.25431,278mb
53.3559,-6.2572,279mb
53.3771,-6.26995,280mb
53.3451,-6.27013,281mb
53.2963,-6.18438,282mb
53.2944,-6.13378,283mb
53.3173,-6.21493,284mb
53.2963,-6.18437,285mb
53.2824,-6.14429,286mb
53.3376,-6.26645,287mb
53.333,-6.27474,288mb
53.3449,-6.23302,289mb
53.3413,-6.28358,290mb
53.3079,-6.22891,291mb
53.3451,-6.23801,292mb
53.3346,-6.27459,293mb
53.2949,-6.20294,294mb
53.3384,-6.24297,295mb
53.317,-6.21499,296mb
53.2963,-6.18432,297mb
53.2826,-6.1434,298mb
53.3119,-6.2748,299mb
53.363,-6.25878,300mb
53.3377,-6.26635,301mb
53.3443,-6.2335,302mb
53.295,-6.20294,303mb
53.3769,-6.26971,304mb
53.3208,-6.28541,305mb
53.3413,-6.28359,306mb
53.3631,-6.2358,307mb
53.3451,-6.23805,308mb
53.3696,-6.25435,309mb
53.3118,-6.27472,310mb
53.3562,-6.25725,311mb
53.3346,-6.27451,312mb
53.2963,-6.1844,313mb
53.317,-6.21491,314mb
53.3609,-6.27238,315mb
53.2962,-6.18431,316mb
53.2824,-6.14407,317mb
53.3558,-6.25757,318mb
53.3118,-6.27478,319mb
53.363,-6.25876,320mb
53.3815,-6.24184,321mb
53.3331,-6.27473,322mb
53.3447,-6.23346,323mb
53.3423,-6.26248,324mb
53.3769,-6.26973,325mb
53.3413,-6.28366,326mb
53.3079,-6.22883,327mb
53.3451,-6.23808,328mb
53.3346,-6.27458,329mb
53.3118,-6.27473,330mb
53.356,-6.25718,331mb
53.345,-6.27009,332mb
53.3385,-6.24306,333mb
53.2963,-6.18441,334mb
53.3288,-6.27582,335mb
53.317,-6.2149,336mb
53.2824,-6.14422,337mb
53.3557,-6.2575,338mb
53.3118,-6.2748,339mb
53.3816,-6.24167,340mb
53.3377,-6.26649,341mb
53.3446,-6.23347,342mb
53.2949,-6.20289,343mb
53.3624,-6.23692,344mb
53.377,-6.26974,345mb
53.3696,-6.25432,346mb
53.312,-6.27474,347mb
53.356,-6.25711,348mb
53.2949,-6.20295,349mb
53.377,-6.2698,350mb
53.3386,-6.24301,351mb
53.3288,-6.27586,352mb
53.2943,-6.13375,353mb
53.3167,-6.21458,354mb
53.2964,-6.18438,355mb
53.2825,-6.1442,356mb
53.3657,-6.32258,357mb
53.3817,-6.24163,358mb
53.3816,-6.24169,359mb
53.3625,-6.23699,360mb
53.3377,-6.26646,361mb
53.333,-6.27475,362mb
53.3664,-6.31909,363mb
53.3444,-6.2338,364mb
53.2885,-6.11426,365mb
53.3423,-6.26247,366mb
53.377,-6.26975,367mb
53.3208,-6.28536,368mb
53.3414,-6.28364,369mb
53.3079,-6.22886,370mb
53.3453,-6.23817,371mb
53.3429,-6.23873,372mb
53.3559,-6.25719,373mb
53.345,-6.2701,374mb
53.3386,-6.24303,375mb
53.3289,-6.27587,376mb
53.317,-6.21519,377mb
53.3449,-6.2701,378mb
53.2824,-6.14414,379mb
53.3119,-6.27487,380mb
53.2946,-6.13445,381mb
53.3816,-6.24164,382mb
53.3817,-6.24165,383mb
53.3625,-6.23697,384mb
53.3376,-6.26642,385mb
53.3664,-6.31908,386mb
53.3445,-6.23303,387mb
53.3423,-6.26253,388mb
53.3414,-6.28363,389mb
53.3451,-6.23817,390mb
53.312,-6.27488,391mb
53.3559,-6.25706,392mb
53.377,-6.26986,393mb
53.2949,-6.20288,394mb
53.377,-6.26985,395mb
53.3382,-6.24286,396mb
53.3289,-6.27586,397mb
53.2944,-6.1338,398mb
53.317,-6.21527,399mb
53.3608,-6.27242,400mb
53.2825,-6.14418,401mb
53.366,-6.27177,402mb
53.363,-6.25877,403mb
53.2946,-6.13448,404mb
53.3376,-6.26643,405mb
53.3423,-6.26252,406mb
53.377,-6.26976,407mb
53.3208,-6.28533,408mb
53.3413,-6.28363,409mb
53.3451,-6.23813,410mb
53.3429,-6.23809,411mb
53.3696,-6.25433,412mb
53.312,-6.27481,413mb
53.3559,-6.2571,414mb
53.3346,-6.27456,415mb
53.3384,-6.24317,416mb
53.2962,-6.18448,417mb
53.3289,-6.27584,418mb
53.2944,-6.13382,419mb
53.3169,-6.21494,420mb
53.345,-6.27008,421mb
53.3608,-6.27238,422mb
53.2825,-6.14398,423mb
53.3771,-6.26993,424mb
53.3119,-6.27484,425mb
53.3629,-6.25877,426mb
53.3816,-6.24161,427mb
53.3815,-6.24168,428mb
53.3444,-6.23347,429mb
53.377,-6.26979,430mb
53.3208,-6.28534,431mb
53.3451,-6.23812,432mb
53.3429,-6.2385,433mb
53.3696,-6.25436,434mb
53.312,-6.27482,435mb
53.356,-6.2573,436mb
53.2963,-6.18444,437mb
53.2944,-6.13383,438mb
53.317,-6.21497,439mb
53.2825,-6.14416,440mb
