X,Y,OBJECTID,LOCATION,AREA,ID,PUBLIC_,PRIVATE,DATE_ADDED,POINT_X,POINT_Y,STAND_TYPE,POINT_Z,EASTINGS,NORTHINGS,DAY_MONTH_ADDED
721290.4998,750092.9354,1,Newbridge House – Playground,Rush_Lusk,0,7, ,2022,"-6° 10' 20.476""","53° 29' 12.699""",Sheffield Stands bolted down to new concrete base,0,721290.4998,750092.9354,Jan
726260.0663,739657.4538,2,Howth - Burrow Beach,Howth - Malahide,0,5, ,2022,"-6° 6' 6.117""","53° 23' 31.066""",Sheffield Stands bolted down to new concrete base,0,726260.0663,739657.4538,Jan
727259.9949,756930.2159,3,Loughshinny Harbour/Beach,Rush_Lusk,0,5, ,2022,"-6° 4' 46.857""","53° 32' 48.702""",Sheffield Stands bolted down,0,727259.9949,756930.2159,Mar
727228.721,756935.7722,4,Loughshinny Harbour/Beach,Rush_Lusk,0,2, ,2022,"-6° 4' 48.547""","53° 32' 48.909""",Sheffield Stands bolted down,0,727228.721,756935.7722,Mar
719591.3158,744772.3466,5,Kettle Park,Swords,0,10, ,2022,"-6° 11' 59.883""","53° 26' 22.050""",Sheffield Stands bolted down,0,719591.3158,744772.3466,Mar
719610.4893,744804.0879,6,Kettle Park,Swords,0,4, ,2022,"-6° 11' 58.802""","53° 26' 23.060""",Sheffield Stands bolted down,0,719610.4893,744804.0879,Mar
725398.9029,751029.4739,7,Portrane - Burrow Road,Rush_Lusk,0,5, ,2022,"-6° 6' 36.396""","53° 29' 39.517""",Sheffield Stands bolted down to new concrete base,0,725398.9029,751029.4739,April
717033.463,764618.6069,8,Balscadden,Balbriggan,0,3, ,2022,"-6° 13' 51.715""","53° 37' 5.875""",Sheffield Stands bolted down,0,717033.463,764618.6069,Jan
725473.5368,760564.2614,9,"Skerries -South Strand, Adjacent Cafe Jacques",Balbriggan,0,5, ,2021,"-6° 6' 18.593""","53° 34' 47.752""",Sheffield stands bolted onto new concrete base,0,725473.5368,760564.2614,
725483.591,760866.2045,10,Skerries - North Strand,Balbriggan,0,5, ,2021,"-6° 6' 17.610""","53° 34' 57.507""",Sheffield stands bolted onto new concrete base,0,725483.591,760866.2045,
725354.4079,760593.2201,11,Skerries - Strand Street,Balbriggan,0,3, ,2021,"-6° 6' 25.024""","53° 34' 48.791""",Sheffield stand bolted down,0,725354.4079,760593.2201,
725232.9639,759952.0276,12,Skerries - Mills skate Park,Balbriggan,0,3, ,2021,"-6° 6' 32.548""","53° 34' 28.163""",Sheffield stands bolted onto new concrete base,0,725232.9639,759952.0276,
725296.464,759966.3151,13,Skerries - Mills Playground,Balbriggan,0,5, ,2021,"-6° 6' 29.077""","53° 34' 28.571""",Sheffield stands bolted onto new concrete base,0,725296.464,759966.3151,
725648.096,761192.9259,14,Skerries - North Strand -Red Island,Balbriggan,0,5, ,2021,"-6° 6' 8.198""","53° 35' 7.929""",Sheffield stands bolted onto new concrete base,0,725648.096,761192.9259,
722859.0796,750051.2291,15,Donabate - Main Street - St Patricks Church,Rush_Lusk,0,3, ,2021,"-6° 8' 55.494""","53° 29' 10.041""",Sheffield stand bolted down,0,722859.0796,750051.2291,
722884.4624,750160.8879,16,Donabate - Main Street - junction Donabate Village,Rush_Lusk,0,3, ,2021,"-6° 8' 53.963""","53° 29' 13.565""",Sheffield stand bolted down,0,722884.4624,750160.8879,
718167.0682,746828.4432,17,Swords - Main Street - Hidden Hearing,Swords,0,1, ,2021,"-6° 13' 14.237""","53° 27' 29.693""",Sheffield stand bolted down,0,718167.0682,746828.4432,
718155.0031,746782.8024,18,Swords - Main Street - Summer Inn,Swords,0,1, ,2021,"-6° 13' 14.952""","53° 27' 28.227""",Sheffield stand bolted down,0,718155.0031,746782.8024,
718186.224,746889.6943,19,Swords - Main Street - Pure Pharmacy,Swords,0,2, ,2021,"-6° 13' 13.116""","53° 27' 31.658""",Sheffield stand bolted down,0,718186.224,746889.6943,
