TIME,CASTLEKNOCK,COAST_ROAD,MORTON_STADIUM,OBJECTID
06-01-2020,0,0,0,0
13-01-2020,0,0,0,1
20-01-2020,0,0,0,2
27-01-2020,0,0,0,3
03-02-2020,0,0,0,4
10-02-2020,0,0,0,5
17-02-2020,0,0,0,6
24-02-2020,0,0,0,7
02-03-2020,0,0,0,8
09-03-2020,0,0,0,9
16-03-2020,0,0,0,10
23-03-2020,0,0,0,11
30-03-2020,0,0,0,12
06-04-2020,0,0,0,13
13-04-2020,0,0,0,14
20-04-2020,0,0,0,15
27-04-2020,0,0,0,16
04-05-2020,0,0,0,17
11-05-2020,0,0,0,18
18-05-2020,0,0,0,19
25-05-2020,0,0,0,20
01-06-2020,0,0,0,21
08-06-2020,0,0,0,22
15-06-2020,0,0,0,23
22-06-2020,0,0,0,24
29-06-2020,0,0,0,25
06-07-2020,0,0,0,26
13-07-2020,0,0,0,27
20-07-2020,0,0,0,28
27-07-2020,0,0,0,29
03-08-2020,0,0,0,30
10-08-2020,0,0,0,31
17-08-2020,0,0,0,32
24-08-2020,0,0,0,33
31-08-2020,166,"4,592",0,34
07-09-2020,441,"10,740",0,35
14-09-2020,509,"12,606",0,36
21-09-2020,510,"13,654",0,37
28-09-2020,365,"7,837",0,38
05-10-2020,467,"8,800",638,39
12-10-2020,474,"9,105","1,932",40
19-10-2020,475,"8,088","1,585",41
26-10-2020,377,"6,364","1,296",42
02-11-2020,441,"9,970","1,456",43
09-11-2020,448,"6,336","1,453",44
16-11-2020,388,"9,182","1,467",45
23-11-2020,445,"8,617","1,537",46
30-11-2020,273,"4,490","1,493",47
07-12-2020,298,"4,710","1,253",48
14-12-2020,307,"4,858","1,599",49
21-12-2020,220,"3,672",906,50
28-12-2020,111,"3,593",496,51
