NAME_OF_SCHOOL,LOCATION,AREA,OBJECTID
Ardgillan Community College,Balbriggan,Balbriggan,0
Balbriggan Community College,Balbriggan,Balbriggan,1
Balbriggan Educate Together N.S,Moylaragh,Balbriggan,2
Ballyboughal N.S,Ballyboughal,Ballyboughal,3
Balscadden N.S,Balbriggan,Balbriggan,4
Bayside Junior School,Sutton,Dublin 13,5
Bayside Senior School,Sutton,Dublin 13,6
Belmayne ETSS,Grange,Dublin 13,7
Beverton  Preschool,Donabate Turvey,Dublin,8
Blakestown Community School,Blakestown,Dublin 15,9
Bracken Educate Together,Balbriggan,Balbriggan,10
Bremore Educate Together Secondary School,Clonard rd,Balbriggan,11
Broadmeadow CNS,Rathbeale Road,Swords,12
Burrow National School,Sutton,Dublin 13,13
Castaheany Educate Together,Dublin 15,Dublin 15,14
Castleknock Community College,Dublin 15,Dublin 15,15
Castleknock Educate Together N.S,Castleknock,Dublin 15,16
Castleknock N.S,Castleknock,Dublin 15,17
Clonmethan Lodge Day Residential Complex,Oldtown,Oldtown,18
Colaiste Choilm,Dublin Rd,Swords,19
Coláiste Ghlór na Mara,Balbiggan,Baile Brigín,20
Colaiste Pobail Setanta,Clonee,Dublin 15,21
Coolmine Community School,Coolmine,Dublin 15,22
Corduff National School,Corduff,Lusk,23
Dominican College Santa Sabina,Sutton,Dublin 13,24
Donabate Community College,Donabate,Donabate,25
Donabate/Portrane Educate Together N.S.,Beaverstown Rd,Donabate,26
Edmund Rice College,Blanchardstown,Baile Átha Cliath 15,27
Ériu Community College,Porterstown Road Annfield,Dublin 15,28
Fingal Community College,Swords Village,Swords,29
Gaelscoil an Chuilinn,Tyrellstown,Dublin 15,30
Gaelscoil Bhaile Brigín,Balbriggan,Balbriggan,31
Gaelscoil Bhrian Bóroimhe,Swords,Sord,32
Gaelscoil Ros Eo,Cuman Luthchleas Gael,Rush,33
Hansfield Educate Together National School,Barnwell Road,Dublin 15,34
Hansfield Educate Together Secondary School,Ongar,Dublin 15,35
Hartstown Community School,Clonsilla,Dublin 15,36
Hedgestown N.S,Lusk,Lusk,37
Holmpatrick N.S,Skerries,Skerries,38
Holy Family Junior National School,River Valley,Swords,39
Holy Family Senior NS,River Valley,Swords,40
Holywell Educate Together National School,Swords,Swords,41
HSE EVE Estuary Training Centre,Lissenhall,Swords,42
Kids Inc Creche and Montessori,Swords,Swords,43
Kilcoskan N.S,The Ward,The Ward,44
Le Cheile Secondary School,Tyrrelstown,Dublin 15,45
Loreto College,Rivervalley,Swords,46
Loreto Secondary School,Balbriggan,Balbriggan,47
Lusk Community College,Rathmore road,Lusk,48
Lusk Junior National School,Chapel Road,Lusk,49
Lusk N.S,Lusk,Lusk,50
Luttrellstown Community College,Clonsilla,Clonsilla,51
Malahide Community School,Malahide,Malahide,52
Malahide Portmarnock Educate Together,Malahide rd,Dublin 17,53
Malahide Portmarnock Educate Together Secondary School,Feltrim road,Swords,54
Mary Mother of Hope Junior School,Littlepace Clonee,Dublin 15,55
Mary Mother of Hope Senior School,Clonee,Dublin 15,56
Mary Queen of Ireland N.S,Saint Margarets,St. Margaret's,57
Mount Sackville Secondary School,Dublin ,Dublin 20,58
Naul N.S,Naul,Naul,59
New Cross College,Finglas,Dublin 11,60
Oberstown campus school,Oberstown,Lusk,61
Pobalscoil Neasain,Baldoyle,Dublin 13,62
Pope John Paul II N.S,Malahide,Malahide,63
Portmarnock Community School,Portmarnock,Portmarnock,64
Powerstown Educate Together N.S,Tyrellstown,Dublin 15,65
"Prosper Fingal, 67 North Street",Swords ,Swords,66
River Valley CNS,Swords,Swords,67
Riversdale Community College,Dublin 15,Dublin 15,68
Rush and Lusk Educate Together N.S,Rathmore Road,Lusk,69
Sacred Heart of Jesus N.S.,Mulhuddart,Dublin 15,70
Scoil an Cheathrair Alainn,Mulhuddart,Dublin 15,71
Scoil an Duinninigh,Draighnean,Sord,72
Scoil Bhride Boys,Dublin 15,Dublin 15,73
Scoil Bhride Girls N.S,Dublin 15,Dublin 15,74
Scoil Choilm Community N.S,Clonsilla,Dublin 15,75
Scoil Chormaic C.N.S,Balbriggan,Dublin,76
Scoil Ghráinne C.N.S,Clonee,Dublin 15,77
Scoil Mhuire,Howth,Howth,78
Scoil Mhuire Junior School,Mulhuddart,Dublin 15,79
Scoil Mhuire Mount Sackville,Chapelizod,Dublin 20,80
Scoil Mhuire Senior,Blanchardstown,Dublin 15,81
Scoil Moibhi,Skerries,Skerries,82
Scoil Oilibhéir,Saileach,Baile Átha Cliath 15,83
Scoil Phadraic Cailini,Donabate,Donabate,84
Scoil Réalt na Mara,Balbriggan Road,Skerries,85
Scoil Thomáis,castleknock,Dublin 15,86
Skerries Community College,Skerries,Skerries,87
Skerries E.T.N.S,Skerries,Skerries,88
St Laurence's N.S,Baldoyle,Dublin 13,89
St Vincent's Castleknock College,Dublin 15,Dublin 15,90
St. Andrew's N.S,Malahide,Malahide,91
St. Benedict's N.S,Dublin 15,Dublin 15,92
St. Brendan's N.S,Skerries,Skerries,93
St. Brigid's N.S,Castleknock,Dublin 15,94
St. Catherine's National School,Rush,Rush,95
St. Ciaran's N.S,Clonsilla,Dublin 15,96
St. Colmcille's B.N.S,Swords,Swords,97
St. Colmcille's G.N.S.,Swords,Swords,98
St. Cronan's J.N.S,Swords,Swords,99
St. Cronan's Sr. N.S,Swords,Swords,100
St. Finian's Community College,Swords,Swords,101
St. Fintan's High School,Sutton,Dublin 13,102
St. Fintan's National School,Sutton,Sutton,103
St. Francis Xavier Senior N.S,Roselawn Glade,Coolmine,104
St. Francis Xaviers Junior N.S,Castleknock,Dublin 15,105
St. George's N.S,Balbriggan,Balbriggan,106
St. Helen's Junior School,Portmarnock,Portmarnock,107
St. Helen's S.N.S.,Portmarnock,Portmarnock,108
St. Joseph's Intellectual Disability Service,Portrane,Donabate,109
St. Joseph's Secondary School,Rush,Rush,110
St. Luke's National School,Tyrrelstown,Dublin 15,111
St. Margaret's N.S,St. Margaret's,St. Margaret's,112
St. Marnock's N.S,Portmarnock,Portmarnock,113
St. Mary's N.S,Oldtown,Oldtown,114
St. Mary's N.S,The Green,Garristown,115
St. Mary's Secondary School,Dublin 13,Dublin 13,116
St. Michael's Holy Angels,Chapelizod,Dublin 20,117
St. Mochta's N.S,Clonsilla,Dublin 15,118
St. Mológa's N.S,Bremore,Balbriggan,119
St. Nicholas of Myra N.S,Kinsealy,Dublin 17,120
St. Oliver Plunkett N.S,Malahide,Malahide,121
St. Oliver Plunkett N.S,Balbriggan,Balbriggan,122
St. Patrick's B.N.S.,Donabate,Donabate,123
St. Patricks J.N.S,Blanchardstown,Dublin 15,124
St. Patrick's Junior School,Skerries,Skerries,125
"St. Patrick's N.S, Diswellstown Road",Castleknock,Dublin 15,126
St. Patrick's S.N.S,Skerries,Skerries,127
St. Patrick's S.N.S,Blanchardstown,Dublin 15,128
St. Philip the Apostle Junior National School,Mountview Road,Dublin 15,129
St. Philip's Senior NS,Clonsilla,Dublin 15,130
St. Sylvester's Infant School,Malahide,Malahide,131
St. Teresa's N.S,Balbriggan,Balbriggan,132
St.Brigid's N.S,Rolestown east,Kilsallaghan,133
Sutton Park School,Sutton,Sutton,134
Swords Community College,Rathbeale Road,Swords,135
Swords E.T.N.S,Swords,Swords,136
Thornleigh E.T.N.S,Applewood,Swords,137
Tyrrelstown E.T.N.S,Tyrrelstown,Dublin 15,138
