OBJECTID,X,Y,ID,FACILITY_NAME,FACILITY_TYPE,LOCATION,FACILITY_ID,SHAPE_AREA,SHAPE_LENGTH
1,322958.0757,244837.6509,,Broomfield,All weather pitches,Malahide,AWP,6467.457275,331.3248438
2,318042.6578,248410.2957,,Balheary Reservoir,All weather pitches,Swords,AWP,3787.496368,246.2396116
3,325167.0594,260219.8601,,Town Park,All weather pitches,Skerries,AWP,6436.44397,328.9074859
4,307985.9571,239849.0755,,Corduff Park,Seven a side,Corduff,A,4584.013702,274.9489659
5,324084.4521,240096.9231,,Seagrange Park,Basketball Court,Baldoyle,,866.9746399,118.2425518
6,328473.9534,238777.1242,,Grace O'Malley Park,Basketball Court,Howth,,1031.125854,128.1243791
7,306628.0998,239861.8814,,Whitestown,Basketball Court,Whitestown,,358.9733887,79.17307625
8,325355.1066,260239.9397,,Skerries Town Park,Bowling Greens,Skerries,,1520.309326,155.9658255
9,320352.1829,263090.5338,354,Balbriggan Town Park,Cricket Pitches,Balbriggan,,12876.22501,463.596
10,310142.1207,238762.132,483,Elm Green,Driving Range,Elm Green,,52398.64127,932.9408318
11,,,,Broomfiled,GAA Pitches,Malahide,3,9651.04718,411.3782354
12,321208.9996,250256.9715,,Nexbridge Demesne,GAA Pitches,Donabate,,13008.66113,469.2360179
13,326284.7681,255916.1198,,St. Catherine's Park,GAA Pitches,Rush,3,7674.131104,377.1890399
14,322115.6456,244978.9795,,Malahide Demesne,GAA Pitches,Malahide,,12990.20035,469.3097145
15,322447.752,245869.9075,,Malahide Demesne,GAA Pitches,Malahide,13,10087.52365,411.0544975
16,322441.4367,245750.1723,,Malahide Demesne,GAA Pitches,Malahide,14,6652.180634,330.0639672
17,316349.8521,246861.0555,,Swords Manor,GAA Pitches,"Brackenstown, Swords",2,13001.58023,469.1575654
18,316806.8672,246490.1285,,Ward River Valley,GAA Pitches,Swords,2,9544.325043,402.2236083
19,316781.9638,246374.2476,,Ward River Valley,GAA Pitches,Swords,1,7662.265808,353.2134192
