ZONENAME,POSTALSTREETNAME,UNITNUMBER,LOCATION,OUTSIDE,OPPOSITE,EASTING,NORTHING,OBJECTID
BALDOYLE,ABBEY PARK,1,S/O 113 GRANGE ROAD,,,323618.491,240111.13,0
BALDOYLE,ABBEY PARK,2,O/S 5/6 ABBY PK,05-Jun,,323608,240065,1
BALDOYLE,ABBEY PARK,3,O/S 9/10 ABBY PK,09-Oct,,323599,240029,2
BALDOYLE,ABBEY PARK,4,O/S 13/14 ABBY PK,13/14,,323592.888,239993.093,3
BALDOYLE,ABBEY PARK,5,O/S 16 ABBY PK,16,,323587,239966,4
BALDOYLE,ABBEY PARK,6,O/S 17/18 ABBY PK,17/18,,323579,239932,5
BALDOYLE,ABBEY PARK,7,O/S 21/22 ABBY PK,21/22,,323572,239898,6
BALDOYLE,ABBEY PARK,8,O/S 25/26 ABBY PK,25/26,,323565,239862,7
BALDOYLE,ABBEY PARK,9,O/S 29/30 ABBY PK,29/30,,323558,239827,8
BALDOYLE,ABBEY PARK,10,O/S 33/34 ABBY PK,33/34,,323550,239792,9
BALDOYLE,ABBEY PARK,11,O/S 37/38 ABBY PK,37/38,,323547,239760,10
BALDOYLE,ABBEY PARK,12,O/S 41/42 ABBY PK,41/42,,323553,239727,11
BALDOYLE,ABBEY PARK,13,O/S 45/46 ABBY PK,45/46,,323561,239691,12
BALDOYLE,ABBEY PARK,14,O/S 50 ABBY PK,50,,323571,239647,13
BALDOYLE,ABBEY PARK,15,OPP 68/69 ABBY PK,,68/69,323602,239679,14
BALDOYLE,ABBEY PARK,16,O/S 55/56 ABBY PK,55/56,,323642,239669,15
BALDOYLE,ABBEY PARK,17,O/S 59/60 ABBY PK,59/60,,323677,239660,16
BALDOYLE,ABBEY PARK,18,O/S 73/74 ABBY PK,73/74,,323579,239765,17
BALDOYLE,ABBEY PARK,19,O/S 77/78 ABBY PK,77/78,,323615,239757,18
BALDOYLE,ABBEY PARK,20,O/S 81/82 ABBY PK,81/82,,323650,239747,19
BALDOYLE,ABBEY PARK,21,O/S 84/84A ABBY PK,84/84A,,323678,239743,20
BALDOYLE,ABBEY PARK,22,S/O 85 ABBY PK,85,,323672,239772,21
BALDOYLE,ABBEY PARK,23,O/S 112/113 ABBY PK,112/113,,323668,239804,22
BALDOYLE,ABBEY PARK,24,O/S 108/109 ABBY PK,108/109,,323663,239841,23
BALDOYLE,ABBEY PARK,25,OPP 107 ABBY PK,,107,323659,239873,24
BALDOYLE,ABBEY PARK,26,OPP 104/105 AT BUS STOP,,104/105,323634,239890,25
BALDOYLE,ABBEY PARK,27,OPP 102/103 ABBY PK,,102/103,323601,239908,26
HOWTH,ABBEY STREET,1,O/S 1 ABBY ST,1,,328815,239277,27
HOWTH,ABBEY STREET,2,O/S 6 ABBY ST,6,,328787,239234,28
HOWTH,ABBEY STREET,3,O/S 10/11 ABBY ST,10-Nov,,328772,239197,29
HOWTH,ABBEY STREET,4,O/S 14E ABBY ST,14E,,328758,239156,30
HOWTH,ABBEY STREET,5,O/S 19 ABBY ST,19,,328758,239121,31
HOWTH,ABBEY STREET,6,O/S 21/22 ABBY ST,21/22,,328759,239086,32
HOWTH,ABBEY STREET,7,OPP ENT TO ST. LAWRENCES RD,,,328768,239060,33
SWORDS,ABBEYLEA AVENUE,1,O/S 1 ABBYLA AVE,1,,317363,247352,34
SWORDS,ABBEYLEA AVENUE,2,O/S 9 ABBYLA AVE,9,,317339,247323,35
SWORDS,ABBEYLEA AVENUE,3,O/S 25 ABBYLA AVE,25,,317335,247266,36
SWORDS,ABBEYLEA AVENUE,4,LANE B/W 23/25 ABBYLA AVE,,,317365,247268,37
SWORDS,ABBEYLEA AVENUE,5,O/S 39 ABBYLA AVE,39,,317356,247211,38
SWORDS,ABBEYLEA AVENUE,14,S/O 2 ABBYLA DRV,,,317404,247173,39
SWORDS,ABBEYLEA AVENUE,15,O/S 60/62 ABBYLA AVE,60/62,,317374,247181,40
SWORDS,ABBEYLEA AVENUE,16,LANE 40/42 ABBYLA AVE,,,317296,247209,41
SWORDS,ABBEYLEA AVENUE,17,O/S 36 ABBYLA AVE,36,,317327,247236,42
SWORDS,ABBEYLEA AVENUE,18,O/S 18 ABBYLA AVE,18,,317327,247294,43
SWORDS,ABBEYLEA AVENUE,33,O/S 8 ABBYLA AVE,8,,317337,247345,44
SWORDS,ABBEYLEA AVENUE,34,LANE S/O 8 ABBYLA AVE,,,317318,247374,45
SWORDS,ABBEYLEA CLOSE,31,S/O 12 ABBYLA GRN,,,317266,247403,46
SWORDS,ABBEYLEA CLOSE,32,O/S 11/14 ABBYLA CLS,,,317299,247423,47
SWORDS,ABBEYLEA DRIVE,6,O/S 11 ABBYLA DRV,11,,317406,247275,48
SWORDS,ABBEYLEA DRIVE,7,LANE S/O 25 ABBYLA DRV,,,317387,247331,49
SWORDS,ABBEYLEA DRIVE,8,O/S 25 ABBYLA DRV,25,,317403,247304,50
SWORDS,ABBEYLEA DRIVE,9,OPP 1/3 ABBYLA DRV,01-Mar,,317433,247267,51
SWORDS,ABBEYLEA DRIVE,10,O/S 22/24 ABBYLA DRV,22/24,,317442,247245,52
SWORDS,ABBEYLEA DRIVE,11,O/S 12/14 ABBYLA DRV,Dec-14,,317420,247218,53
SWORDS,ABBEYLEA DRIVE,12,O/S 2/4 ABBYLA DRV,02-Apr,,317398,247191,54
SWORDS,ABBEYLEA DRIVE,13,LANE B/W 6/8 ABBYLA DRV,,,317432,247184,55
SWORDS,ABBEYLEA GREEN,19,S/O 10 ABBYLA AVE,,,317323,247333,56
SWORDS,ABBEYLEA GREEN,20,O/S 1/3 ABBYLA GRN,01-Mar,,317291,247342,57
SWORDS,ABBEYLEA GREEN,21,O/S 7/7A ABBYLA GRN,7/7A,,317270,247359,58
SWORDS,ABBEYLEA GREEN,22,PEDWAY TO ELMWD DRV,,,317226,247366,59
SWORDS,ABBEYLEA GREEN,23,PEDWAY TO ELMWD DRV,,,317201,247354,60
SWORDS,ABBEYLEA GREEN,24,OPP ENT ABBYLA CLS,,,317247,247383,61
SWORDS,ABBEYLEA GREEN,25,O/S 9 ABBYLA GRN,9,,317209,247440,62
SWORDS,ABBEYLEA GREEN,26,O/S 13/15 ABBYLA GRN,13/15,,317221,247463,63
SWORDS,ABBEYLEA GREEN,27,O/S 25/27 ABBYLA GRN,25/27,,317234,247506,64
SWORDS,ABBEYLEA GREEN,28,O/S 30/32 ABBYLA GRN,30/32,,317247,247480,65
SWORDS,ABBEYLEA GREEN,29,IN LANE S/O 18 ABBYLA GRN,,,317252,247440,66
SWORDS,ABBEYLEA GREEN,30,O/S 16/18 ABBYLA GRN,16/18,,317237,247414,67
SWORDS,ABBEYLEA GREEN,    024A,FLOODLIGHT,,,317244,247379,68
SWORDS,ABBEYVALE ESTATE,1,OPP S/O 2 ABBYVLE GRN,,,316125,246947,69
SWORDS,ABBEYVALE ESTATE,2,OPP S/O 1 ABBYVLE WY,,,316131,246979,70
SWORDS,ABBEYVALE ESTATE,3,S/O 2 ABBYVLE RSE,,,316134,247007,71
SWORDS,ABBEYVALE ESTATE,4,O/S 36/38 ABBYVLE WY,36/38,,316115,246943,72
SWORDS,ABBEYVALE ESTATE,5,O/S 28/30 ABBYVLE WY,28/30,,316085,246950,73
SWORDS,ABBEYVALE ESTATE,6,O/S 20/22 ABBYVLE WY,20/22,,316056,246955,74
SWORDS,ABBEYVALE ESTATE,7,O/S 12/14 ABBYVLE WY,Dec-14,,316027,246963,75
SWORDS,ABBEYVALE ESTATE,8,O/S 4/6 ABBYVLE WY,04-Jun,,315995,246969,76
SWORDS,ABBEYVALE ESTATE,9,S/O 11 ABBYVLE WY,,,316037,246997,77
SWORDS,ABBEYVALE ESTATE,10,O/S 15/17 ABBYVLE DRV,15/17,,316046,247027,78
SWORDS,ABBEYVALE ESTATE,11,O/S 3/5 ABBYVLE DRV,03-May,,316052,247075,79
SWORDS,ABBEYVALE ESTATE,12,O/S 21/23 ABBYVLE PLC,21/23,,316036,247111,80
SWORDS,ABBEYVALE ESTATE,13,O/S 13/15 ABBYVLE PLC,13/15,,316066,247107,81
SWORDS,ABBEYVALE ESTATE,14,O/S 5/7 ABBYVLE PLC,05-Jul,,316097,247104,82
SWORDS,ABBEYVALE ESTATE,15,O/S 13/15 ABBYVLE RSE,13/15,,316069,247032,83
