X,Y,LATITUDE,LONGITUDE,FACILITY_NAME,LEA,ACTIVITY_TYPE,ANALYSIS,ACTIVITY,ACTIVITY_DESCRIPTION,COMMERCIAL_OR_NON-COMMERCIAL,CHAIN,ACCESS,EMAIL,WEBSITE,CONTACT_NUMBER,FACILITY_TYPE,FACILITY_CONDITION,AVAILABLE_UTILITIES,FACILITY_CAPACITY,FACILITY_FEE,MEMBERSHIP,OPEN_TIME,FACILITY_ACCESSIBILITY,AGE_RESTRICTION,X_ITM,Y_ITM,OBJECT_ID
-679260.6235,7080117.559,53.521861,-6.101902,Rush Library,LEA-5 - Lusk-Rush,Library,Other,Multiple,Library,Non Commercial,FCC,free,rushlibrary@fingal.ie,http://www.fingalcoco.ie/community-and-leisure/libraries/find-a-library-and-check-opening-hours/rush-library/,N/A,Indoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Daytime,Disabled access via wheelchair,All ages,725861.7927,754109.2001,1
-679786.2741,7090745.9,53.578585,-6.106624,Skerries Library,LEA-5 - Balbriggan,Library,Other,Multiple,Library,Non Commercial,FCC,free,SkerriesLibrary.Library@fingal.ie,http://www.fingalcoco.ie/community-and-leisure/libraries/find-a-library-and-check-opening-hours/skerries-library/,N/A,Indoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,725380.8968,760411.9082,2
-693438.8305,7068986.045,53.46237,-6.229267,Swords Library,LEA7 - Swords,Library,Other,Multiple,Library,Non Commercial,FCC,free,swordslibrary@fingal.ie,http://www.fingalcoco.ie/community-and-leisure/libraries/find-a-library-and-check-opening-hours/swords-library/,N/A,Indoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,717581.5802,747272.7574,3
-688230.8594,7096370.121,53.608571,-6.182483,Balbriggan Library,LEA-5 - Balbriggan,Library,Other,Multiple,Library,Non Commercial,FCC,free,balbrigganlibrary@fingal.ie,http://www.fingalcoco.ie/community-and-leisure/libraries/find-a-library-and-check-opening-hours/balbriggan-library/,N/A,Indoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Daytime,Wheelchair access,All ages,720272.7537,763617.2419,4
-710634.1296,7088280.911,53.565436,-6.383735,Garristown Community Centre,LEA-5 - Lusk-Rush,Community Centre,Indoor Activity,Multiple,Variety,Non Commercial,No,free,no email,,N/A,Indoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,707065.1525,758496.5459,5
-687454.6286,7080645.604,53.524681,-6.17551,"Football field (Dun Emer??) (pitch along Dun Emer Ave, please specify final name)",LEA-5 - Lusk-Rush,Outdoor Pitch,Pitch Sport,Single,Soccer,Non Commercial,No,free,no email,,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,720973.3444,754295.4247,6
-685587.249,7081439.476,53.52892028,-6.158735044,Outdoor Gym Equipment,LEA-5 - Lusk-Rush,Outdoor Facility,"Playground, MUGA, Outdoor Gyms, Tennis",Multiple,Outdoor gym,Non Commercial,No,free,no email,,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,722073.3085,754795.7021,7
-689201.454,7091817.694,53.584301,-6.191202,Soccer pitch Balrothary,LEA-5 - Balbriggan,Outdoor Pitch,Pitch Sport,Single,Soccer,Non Commercial,No,free,no email,,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,719764.4722,760902.2343,8
-689469.734,7091791.066,53.584159,-6.193612,MUGA Balrothery,LEA-5 - Balbriggan,Multi-Use Games Areas,"Playground, MUGA, Outdoor Gyms, Tennis",Multiple,Soccer and basketball,Non Commercial,No,free,no email,,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,719605.3174,760882.3831,9
-688995.2903,7092026.97,53.585417,-6.18935,Balrothery Community centre and playground,LEA-5 - Balbriggan,Community Centre,Indoor Activity,Multiple,Variety,Non Commercial,No,free,no email,,N/A,Indoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,719883.9264,761029.519,10
-688472.3114,7094629.123,53.599291,-6.184652,Remember us social group for people with special needs,LEA-5 - Balbriggan,Private Leisure Facility,Indoor Activity,Multiple,Gym for disabled,Non Commercial,No,membership,no email,https://rememberus.ie/,N/A,Indoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,720155.5772,762581.0753,11
