ID,AREA,TOTAL_NUMBER_OF_BAYS,BAYS,LONGITUDE,LATITUDE
1ap,Swords,3,1,-6.220370655,53.45826677
2ap,Swords,,1,-6.220901146,53.45729008
3ap,Swords,,1,-6.221084263,53.45738223
4ap,Swords,,1,-6.218352962,53.46103671
5ap,Swords,5,1,-6.218658648,53.45874212
6ap,Swords,,1,-6.218648341,53.45876413
7ap,Swords,,1,-6.218635813,53.4587899
8ap,Swords,,1,-6.217619236,53.45821741
9ap,Swords,,1,-6.217694219,53.4582458
10ap,Swords,1,1,-6.222862,53.47814
11ap,Malahide,2,1,-6.157136,53.450037
12ap,Malahide,,1,-6.157008,53.450032
13ap,Malahide,4,1,-6.153322,53.449132
14ap,Malahide,,1,-6.15315,53.44839
15ap,Malahide,,1,-6.15316,53.44847
16ap,Malahide,,1,-6.15334,53.44914
17ap,Malahide,1,1,-6.15223,53.45226
18ap,Malahide,1,1,-6.15353,53.452193
19ap,Malahide,2,1,-6.15167,53.45185
20ap,Malahide,2,1,-6.152822,53.450896
21ap,Malahide,,1,-6.15273,53.450901
22ap,Malahide,3,1,-6.15488,53.45154
23ap,Malahide,,1,-6.15497,53.451973
24ap,Malahide,,1,-6.15499,53.45133
25ap,Malahide,3,1,-6.1506,53.44741
26ap,Malahide,,1,-6.15082,53.44739
27ap,Malahide,,1,-6.50955,53.44739
28ap,Malahide,1,1,-6.155212,53.451262
29ap,Balbriggan,3,1,-6.105950381,53.5781079
30ap,Balbriggan,,1,-6.106248381,53.57835448
31ap,Balbriggan,,1,-6.106281139,53.57845206
32ap,Balbriggan,4,1,-6.181617976,53.60930241
33ap,Balbriggan,,1,-6.18166914,53.60917483
34ap,Balbriggan,,1,-6.181744886,53.60894594
35ap,Balbriggan,2,1,-6.111724109,53.58124882
36ap,Balbriggan,,1,-6.110918226,53.5811463
37ap,Balbriggan,1,1,-6.110918226,53.5811463
38ap,Balbriggan,1,1,-6.109863343,53.58112319
39ap,Balbriggan,4,1,-6.183918024,53.60970554
40ap,Balbriggan,,1,-6.183829846,53.60983116
41ap,Balbriggan,,1,-6.10720208,53.57799
42ap,Balbriggan,,1,-6.187839017,53.60820207
43ap,Balbriggan,6,1,-6.188477612,53.61289665
44ap,Balbriggan,,1,-6.18774,53.61299
45ap,Balbriggan,,1,-6.18653,53.61164
46ap,Balbriggan,,1,-6.18473,53.61057
47ap,Balbriggan,,1,-6.18386,53.61003
48ap,Balbriggan,,1,-6.18371,53.61008
49ap,Balbriggan,3,1,-6.19221,53.6091
50ap,Balbriggan,,1,-6.19212,53.60912
51ap,Balbriggan,,1,-6.19179,53.60917
52ap,Balbriggan,1,1,-6.188460573,53.61233369
53ap,Skerries,2,1,-6.10639,53.57915
54ap,Skerries,,1,-6.106481,53.579413
55ap,Skerries,9,1,-6.10602,53.57823
56ap,Skerries,,1,-6.10617,53.57823
57ap,Skerries,,1,-6.10599,53.57783
58ap,Skerries,,1,-6.105808,53.577771
59ap,Skerries,,1,-6.10576,53.5774
60ap,Skerries,,1,-6.10558,53.77321
61ap,Skerries,,1,-6.10529,53.57677
62ap,Skerries,,1,-6.10555,53.577062
63ap,Skerries,,1,-6.10535,53.57695
64ap,Skerries,3,1,-6.111734,53.581249
65ap,Skerries,,1,-6.11025,53.58112
66ap,Skerries,,1,-6.117902,53.58573
67ap,Skerries,1,1,-6.11001,53.57987
68ap,Skerries,1,1,-6.10829,53.58057
69ap,Skerries,7,1,-6.10798,53.57862
70ap,Skerries,,1,-6.107944,53.578599
71ap,Skerries,,1,-6.10793,53.57859
72ap,Skerries,,1,-6.10789,53.57869
73ap,Skerries,,1,-6.10728,53.5782
74ap,Skerries,,1,-6.107109,53.57808
75ap,Skerries,,1,-6.107064,53.578053
76ap,Skerries,1,1,-6.1075,53.57982
77ap,Skerries,1,1,-6.10768,53.57939
78ap,Skerries,3,1,-6.11036,53.57867
79ap,Skerries,,1,-6.110374,53.578732
80ap,Skerries,,1,-6.10922,53.57899
81ap,Skerries,2,1,-6.11203,53.57856
82ap,Skerries,,1,-6.11218,53.57871
83ap,Skerries,1,1,-6.11682,53.57378
84ap,Skerries,1,1,-6.10758,53.58108
85ap,Lusk-Rush,4,1,-6.09515,53.52249
86ap,Lusk-Rush,,1,-6.09288,53.52203
87ap,Lusk-Rush,,1,-6.09197,53.52201
88ap,Lusk-Rush,,1,-6.09188,53.52202
89ap,Lusk-Rush,2,1,-6.0954,53.5222
90ap,Lusk-Rush,,1,-6.09503,53.52215
91ap,Lusk-Rush,2,1,-6.090506659,53.52171226
92ap,Lusk-Rush,,1,-6.089197067,53.52167692
93ap,Clonsilla,2,1,-6.42357,53.38348
94ap,Clonsilla,,1,-6.42366,53.3835
