ID,LOCATION,AREA,PUBLIC,PRIVATE,DATE_ADDED,LONGITUDE,LATITUDE,STAND_TYPE,EASTINGS,NORTHINGS,DAY_MONTH_ADDED
1bs,Newbridge House – Playground,Lusk-Rush,7, ,2022,-5.827645556,53.48686083,Sheffield Stands bolted down to new concrete base,721290.4998,750092.9354,Jan
2bs,Howth - Burrow Beach,Howth,5, ,2022,-5.898300833,53.39196278,Sheffield Stands bolted down to new concrete base,726260.0663,739657.4538,Jan
3bs,Loughshinny Harbour/Beach,Lusk-Rush,5, ,2022,-5.9203175,53.54686167,Sheffield Stands bolted down,727259.9949,756930.2159,Mar
4bs,Loughshinny Harbour/Beach,Lusk-Rush,2, ,2022,-5.919848056,53.54691917,Sheffield Stands bolted down,727228.721,756935.7722,Mar
5bs,Kettle Park,Swords,10, ,2022,-5.8000325,53.43945833,Sheffield Stands bolted down,719591.3158,744772.3466,Mar
6bs,Kettle Park,Swords,4, ,2022,-5.800332778,53.43973889,Sheffield Stands bolted down,719610.4893,744804.0879,Mar
7bs,Portrane - Burrow Road,Lusk-Rush,5, ,2022,-5.88989,53.49431028,Sheffield Stands bolted down to new concrete base,725398.9029,751029.4739,April
8bs,Balscadden,Balbriggan,3, ,2022,-5.768968056,53.61829861,Sheffield Stands bolted down,717033.463,764618.6069,Jan
9bs,"Skerries -South Strand, Adjacent Cafe Jacques",Balbriggan,5, ,2021,-5.894835278,53.57993111,Sheffield stands bolted onto new concrete base,725473.5368,760564.2614,
10bs,Skerries - North Strand,Balbriggan,5, ,2021,-5.895108333,53.58264083,Sheffield stands bolted onto new concrete base,725483.591,760866.2045,
11bs,Skerries - Strand Street,Balbriggan,3, ,2021,-5.893048889,53.58021972,Sheffield stand bolted down,725354.4079,760593.2201,
12bs,Skerries - Mills skate Park,Balbriggan,3, ,2021,-5.890958889,53.57448972,Sheffield stands bolted onto new concrete base,725232.9639,759952.0276,
13bs,Skerries - Mills Playground,Balbriggan,5, ,2021,-5.891923056,53.57460306,Sheffield stands bolted onto new concrete base,725296.464,759966.3151,
14bs,Skerries - North Strand -Red Island,Balbriggan,5, ,2021,-5.897722778,53.58553583,Sheffield stands bolted onto new concrete base,725648.096,761192.9259,
15bs,Donabate - Main Street - St Patricks Church,Lusk-Rush,3, ,2021,-5.851251667,53.4861225,Sheffield stand bolted down,722859.0796,750051.2291,
16bs,Donabate - Main Street - junction Donabate Village,Lusk-Rush,3, ,2021,-5.851676944,53.48710139,Sheffield stand bolted down,722884.4624,750160.8879,
17bs,Swords - Main Street - Hidden Hearing,Swords,1, ,2021,-5.779378611,53.45824806,Sheffield stand bolted down,718167.0682,746828.4432,
18bs,Swords - Main Street - Summer Inn,Swords,1, ,2021,-5.77918,53.45784083,Sheffield stand bolted down,718155.0031,746782.8024,
19bs,Swords - Main Street - Pure Pharmacy,Swords,2, ,2021,-5.77969,53.45879389,Sheffield stand bolted down,718186.224,746889.6943,
20bs,Swords - Main Street - Taylors Pub,Swords,2, ,2021,-5.779772222,53.45856667,Sheffield stand bolted down,718192.3095,746864.5589,
