ID,LOCATION,LATITUDE,LONGITUDE
1bb,Ongar Village 1,53.39577,-6.43989
2bb,Ongar Village 2,53.39592,-6.43973
3bb,Ongar Distributor Road,53.39082,-6.42992
4bb,Hansfield Train Station,53.38693,-6.44206
5bb,Clonsilla Train Station,53.3831,-6.42327
6bb,Coolmine Train Station,53.3775,-6.39128
7bb,Blanchardstown Civic Offices 1,53.3906,-6.39248
8bb,Blanchardstown Civic Offices 2,53.39103,-6.39248
9bb,Blanchardstown Shopping Centre 1,53.39296,-6.39002
10bb,Blanchardstown Shopping Centre 2,53.39144,-6.38924
11bb,Blanchardstown Shopping Centre 3,53.39509,-6.38913
12bb,Blanchardstown Shopping Centre 4,53.39428,-6.39483
13bb,Blanchardstown Main St 1,53.38685,-6.37718
14bb,Blanchardstown Main St 2,53.38577,-6.37434
15bb,Blanchardstown Main St 3,53.386311,-6.376258
16bb,Mulhuddart 1,53.401668,-6.410332
17bb,Mulhuddart 2,53.40106,-6.40649
18bb,Mulhuddart 3,53.402619,-6.397084
19bb,Fortlawn (Mountview Rd),53.3908,-6.40581
20bb,Tyrrelstown,53.42043,-6.38213
21bb,Castleknock Carpenterstown Road,53.37205,-6.3884
22bb,Castleknock Train Station,53.38161,-6.37152
23bb,Castleknock Lidl,53.37334,-6.36207
24bb,Castleknock Myos,53.3729,-6.36272
25bb,Castleknock Phoenic Park Gate,53.3698,-6.34876
26bb,Navan Road Parkway Train Station,53.37761,-6.34546
27bb,Ashtown Train Station ,53.37527,-6.33231
28bb,Swords Court,53.4596,-6.21896
29bb,Swords Airside 1,53.44852,-6.22385
30bb,Swords Airside 2,53.44756,-6.22146
31bb,Swords Airside 3,53.44601,-6.22764
32bb,Swords Lidl,53.450676,-6.225724
33bb,Swords Main St Garda Station,53.456277,-6.221341
34bb,Swords Balheary Rd,53.463316,-6.21794
35bb,Malahide Train Station,53.45056,-6.15508
36bb,Malahide The Green (to be removed),53.45219,-6.15363
37bb,Portmarnock Lidl,53.42087,-6.13781
38bb,Portmarnock Main St,53.42086,-6.13749
39bb,Portmarnock Train Station,53.41816,-6.15099
40bb,Baldoyle Community Centre,53.39934,-6.12766
41bb,Baldoyle Library,53.39662,-6.12579
42bb,Sutton Train Station,53.3919,-6.11646
43bb,Sutton Super Valu,53.39059,-6.10922
44bb,Howth Train Station 2,53.38875,-6.07429
45bb,Howth Train Station 2,53.38886,-6.07347
46bb,Howth Road,53.38889,-6.07311
47bb,Howth East Pier,53.38843,-6.06376
