ID,FACILITY_NAME,FACILITY_TYPE,LOCATION,SHAPE_AREA,SHAPE_LENGTH
1pp,Broomfield,All weather pitches,Malahide,6467.457275,331.3248438
2pp,Balheary Reservoir,All weather pitches,Swords,3787.496368,246.2396116
3pp,Town Park,All weather pitches,Skerries,6436.44397,328.9074859
4pp,Corduff Park,Seven a side,Corduff,4584.013702,274.9489659
5pp,Seagrange Park,Basketball Court,Baldoyle,866.9746399,118.2425518
6pp,Grace O'Malley Park,Basketball Court,Howth,1031.125854,128.1243791
7pp,Whitestown,Basketball Court,Whitestown,358.9733887,79.17307625
8pp,Skerries Town Park,Bowling Greens,Skerries,1520.309326,155.9658255
9pp,Balbriggan Town Park,Cricket Pitches,Balbriggan,12876.22501,463.596
10pp,Elm Green,Driving Range,Elm Green,52398.64127,932.9408318
11pp,Broomfiled,GAA Pitches,Malahide,9651.04718,411.3782354
12pp,Nexbridge Demesne,GAA Pitches,Donabate,13008.66113,469.2360179
13pp,St. Catherine's Park,GAA Pitches,Rush,7674.131104,377.1890399
14pp,Malahide Demesne,GAA Pitches,Malahide,12990.20035,469.3097145
15pp,Malahide Demesne,GAA Pitches,Malahide,10087.52365,411.0544975
16pp,Malahide Demesne,GAA Pitches,Malahide,6652.180634,330.0639672
17pp,Swords Manor,GAA Pitches,"Brackenstown, Swords",13001.58023,469.1575654
18pp,Ward River Valley,GAA Pitches,Swords,9544.325043,402.2236083
19pp,Ward River Valley,GAA Pitches,Swords,7662.265808,353.2134192
20pp,Balheary Park,GAA Pitches,Swords,13028.58652,469.8598953
21pp,Balheary Park,GAA Pitches,Swords,13010.55881,469.3952258
22pp,Balheary Park,GAA Pitches,Swords,13021.43515,469.2869244
23pp,Hartstown Park,GAA Pitches,Hartstown,5861.357452,313.1586849
24pp,Hartstown Park,GAA Pitches,Hartstown,5930.335114,315.0980389
25pp,Hartstown Park,GAA Pitches,Hartstown,11416.76431,439.4758011
26pp,Hartstown Park,Soccer pitches,Hartstown,6537.172089,328.8050004
27pp,Hunters Run/lLittlep,GAA Pitches,"Hunter's run/Littlepace, Clonee",11821.09686,453.1324729
28pp,Skerries Town Park,GAA Pitches,Skerries,9243.583618,399.2226425
29pp,Ballist Pit,GAA Pitches,Skerries,6084.735352,337.5035819
30pp,Porterstown Park,GAA Pitches,Porterstown,13045.991,469.8059084
31pp,Porterstown Park,GAA Pitches,Porterstown,13095.20837,470.6558129
32pp,Porterstown Park,Rugby Pitches,Porterstown,9302.951385,403.8979489
33pp,Lady's Well Park,GAA Pitches,Mulhuddart,13023.53934,469.5859111
34pp,St. Molaga's Park,GAA Pitches,Balbriggan,10431.07147,432.0390966
35pp,St. Catherines,GAA Pitches,Dublin 15,13078.49402,470.3746462
36pp,Elm Green,Golf Course,Elm Green,506758.4245,3861.514673
37pp,Corbalis Golf Course,Golf Course,Donabate,294888.6696,3982.840305
38pp,Elm Green,Pitch & Putt Course,Elm Green,23586.9278,639.3688656
39pp,Malahide Demesne,Pitch & Putt Course,Malahide,110901.0498,1503.509575
40pp,Malahide Demense,Soccer pitches,Malahide,9939.032104,425.830709
41pp,Seabury,Rugby Pitches,Malahide,9921.157166,425.5928161
42pp,Porterstown Park,Running Track,Porterstown,8432.055328,367.656206
43pp,Broomfiled,Seven-a-side,Malahide,1985.578369,180.7009377
44pp,Carrickhill,Seven-a-side,Portmarnock,2179.87738,187.7274204
45pp,Carrrickhill,Seven-a-side,Portmarnock,3994.03833,267.7216638
46pp,St. Catherine's Park,Seven-a-side,Rush,1873.080414,177.1408504
47pp,Ward River Valley,Seven-a-side,Swords,2773.97464,212.9749474
48pp,Ward  River Valley,Seven-a-side,Swords,2777.343048,213.1021841
49pp,Balheary Park,Seven-a-side,Swords,3791.336304,248.5414276
50pp,Balheary Park,Seven-a-side,Swords,4130.590759,260.1842809
51pp,Balheary Park,Seven-a-side,Swords,4139.785156,260.4287349
52pp,Balheary Reservoir ,Seven-a-side,Swords,1499.526154,159.9678365
53pp,Balheary Reservoir,Seven-a-side,Swords,1498.493347,159.913613
54pp,Balheary Reservoir,Seven-a-side,Swords,1503.5401,160.2588119
55pp,Hartstown Park,Seven-a-side,Hartstown,2548.285553,206.16393
56pp,Hartstown Park,Seven-a-side,Hartstown ,1986.051208,183.736674
57pp,Hunter's Run,Soccer pitches,"Hunter's Run/Littlepace, Clonee",4092.646851,259.0394056
58pp,Hunter's Run,Seven-a-side,"Littlepace, Clonee",2633.591675,210.2715538
59pp,Porterstown Park,Seven-a-side,Porterstown,4153.957275,260.7547089
60pp,Porterstown Park,Seven-a-side,Porterstown,4138.162903,260.2215782
61pp,Coolmine Park,Seven-a-side,Blanchardstown,2466.411957,204.2670994
62pp,Mountview Park,Seven-a-side,Blanchardstown,4099.802979,259.1700974
63pp,Lady's Well Park,Seven-a-side,Mulhuddart,1788.8367,174.949339
64pp,Seagrange Park,Seven-a-side,Baldoyle,2977.923035,221.6919338
65pp,Bayside School,Seven-a-side,Sutton,1257.078125,143.1169
66pp,Whitestown,Seven-a-side,Whitestown,378.2415161,81.61793345
67pp,Pump Lane,Seven-a-side,Balbriggan,2402.150269,197.4117871
68pp,Balbriggan Town Park,Soccer pitches,Balbriggan,6394.558533,327.8967112
69pp,Ball Alley/Remount ,Soccer pitches,Lusk,7157.811279,345.5345765
70pp,Broomfiled,GAA Pitches,Malahide,6410.403198,328.2432732
71pp,Newbridge Demesne,Soccer pitches,Donabate,6388.364166,327.7930512
72pp,Newbridge Demesne,Soccer pitches,Donabate,6380.295288,327.6706242
73pp,Newbridge Demesne,Soccer pitches,Donabate,6381.565338,327.5241726
