ID,Name,Address1,Address2,Address3,Address4,Phone,Email,Class,Opening_Hours,Playground,Multi_Use_Games_Area,Skatepark,Outdoor_Exercise_Equipment,GAA,Soccer,Rugby,Cricket,Tennis,Bowls,Boules,Pitch_and_Putt,Walking,Cycling,Heritage_Venue,Other_Attractions,Cafe,Picnic_Tables,Park_Benches,Parking,Disabled_Parking,Bicycle_Parking,Toilets,Disabled_Toilets,Baby_Changing,OBJECTID
1ppp,Ardgillan Demesne,Balbriggan,Co. Dublin,,,+353 1 8905000,BalSwoOpArea@fingal.ie,Regional,,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Ardgillan Castle & Gardens,"Historical Parkland & Demesne. Castle Tours, Victorian Walled Garden (herbs, vegetables and Herbaceous Borders), Rose Garden, National Potentilla Collection, Victorian Conservatory; Extensive Wildflower Meadows & Woodland Walking Trails. Large Childrens Playground. Panoramic Coastal Views",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0
2ppp,Balheary Park,Balheary Road,Swords,Co. Dublin,,+353 1 8905000,BalSwoOpArea@fingal.ie,N/hood,,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,,No,No,No,No,No,No,No,No,No,1
3ppp,Tir na Nog Park,Carpenterstown,Dublin 15,Dublin 15,,+353 1 8905000,CasMulOpArea@fingal.ie,N/hood,,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,,No,No,Yes,No,No,No,No,No,No,2
4ppp,Carrickhill Park,Portmarnock,Co. Dublin,,,+353 1 8905000,HowMalOpArea@fingal.ie,N/hood,,Yes,No,No,No,,,,No,Yes,No,No,No,,No,No,,No,,,Yes,Yes,,No,No,No,3
5ppp,Cave's Marsh & Millview,Malahide,Co. Dublin,,,+353 1 8905000,HowMalOpArea@fingal.ie,Nature,,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,,No,No,No,No,No,No,No,No,No,4
6ppp,Malahide Demesne,Malahide,Co. Dublin,,,+353 1 8905000,HowMalOpArea@fingal.ie,Regional,,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Malahide Castle & Gardens,"Historical Parkland & Demesne. Medieval Castle Tours, 'Talbot Botanic Gardens', Walled Gardens, Plants Cololections, Butterfly House, International Cricket, Tennis, Golf. Large Childrens Playground and Outdoor Concert Venue.",Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,5
7ppp,Millennium Park,Blanchardstown,Dublin 15,,,+353 1 8905000,CasMulOpArea@fingal.ie,Regional,,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,St Mochtas Church & graveyard (in ruins) ,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6
8ppp,Newbridge Demense,Hearse Road,Donabate,Co. Dublin,,+353 1 8905000,BalSwoOpArea@fingal.ie,Regional,,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Newbridge House; Newbridge Traditional Farm,"Historical Parkland & Demesne. Irelands Only Intact Georgian Mansion with both Farm and Historical Parkland Tours. Extensive Wildflower Meadows, Woodland and Walking Trails. Walled Gardens. Glasshouses (under refurbishment) Large Playgound, Sports Pitches and Active Age Area including Croquet, Boules and Yoga.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7
9ppp,Porterstown Park,Luttrellstown Road,Porterstown,Dublin 15,,+353 1 8905000,CasMulOpArea@fingal.ie,N/hood,,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,Running Track,No,No,Yes,Yes,Yes,Yes,No,No,No,8
10ppp,Santry Demense,Swords Road,Santry,Dublin 9,,+353 1 8905000,BalSwoOpArea@fingal.ie,Regional,,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Remains of Santry Demesne,"Historical Parkland Demesne, Mature Woodland, Pond; Walled Garden, Community Garden",No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9
