ID,LATITUDE,LONGITUDE,FACILITY_NAME,AREA,ACTIVITY_TYPE,ANALYSIS,ACTIVITY_DESCRIPTION,CHAIN,ACCESS,EMAIL,WEBSITE,CONTACT_NUMBER,FACILITY_TYPE,FACILITY_CONDITION,AVAILABLE_UTILITIES,FACILITY_CAPACITY,FACILITY_FEE,MEMBERSHIP,OPEN_TIME,FACILITY_ACCESSIBILITY,AGE_RESTRICTION,,FEE,ACCESSIBILITYT
1rf,53.521861,-6.101902,Rush Library,Lusk-Rush,Library,Other,Library,FCC,free,rushlibrary@fingal.ie,http://www.fingalcoco.ie/community-and-leisure/libraries/find-a-library-and-check-opening-hours/rush-library/,N/A,Indoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Daytime,Disabled access via wheelchair,All ages,,Annual,Disabled access via wheelchair
2rf,53.578585,-6.106624,Skerries Library,Balbriggan,Library,Other,Library,FCC,free,SkerriesLibrary.Library@fingal.ie,http://www.fingalcoco.ie/community-and-leisure/libraries/find-a-library-and-check-opening-hours/skerries-library/,N/A,Indoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,,Annual,Could not be fully determined on visit
3rf,53.46237,-6.229267,Swords Library,Swords,Library,Other,Library,FCC,free,swordslibrary@fingal.ie,http://www.fingalcoco.ie/community-and-leisure/libraries/find-a-library-and-check-opening-hours/swords-library/,N/A,Indoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,,Annual,Could not be fully determined on visit
4rf,53.608571,-6.182483,Balbriggan Library,Balbriggan,Library,Other,Library,FCC,free,balbrigganlibrary@fingal.ie,http://www.fingalcoco.ie/community-and-leisure/libraries/find-a-library-and-check-opening-hours/balbriggan-library/,N/A,Indoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Daytime,Wheelchair access,All ages,,Annual,Wheelchair access
5rf,53.565436,-6.383735,Garristown Community Centre,Lusk-Rush,Community Centre,Indoor Activity,Variety,No,free,no email,,N/A,Indoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,,Free,Could not be fully determined on visit
6rf,53.524681,-6.17551,"Football field (Dun Emer??) (pitch along Dun Emer Ave, please specify final name)",Lusk-Rush,Outdoor Pitch,Pitch Sport,Soccer,No,free,no email,,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,,Annual,Could not be fully determined on visit
7rf,53.52892028,-6.158735044,Outdoor Gym Equipment,Lusk-Rush,Outdoor Facility,"Playground, MUGA, Outdoor Gyms, Tennis",Outdoor gym,No,free,no email,,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,,Free,Could not be fully determined on visit
8rf,53.584301,-6.191202,Soccer pitch Balrothary,Balbriggan,Outdoor Pitch,Pitch Sport,Soccer,No,free,no email,,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,,Free,Could not be fully determined on visit
9rf,53.584159,-6.193612,MUGA Balrothery,Balbriggan,Multi-Use Games Areas,"Playground, MUGA, Outdoor Gyms, Tennis",Soccer and basketball,No,free,no email,,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,,Free,Could not be fully determined on visit
10rf,53.585417,-6.18935,Balrothery Community centre and playground,Balbriggan,Community Centre,Indoor Activity,Variety,No,free,no email,,N/A,Indoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,,Free,Could not be fully determined on visit
11rf,53.599291,-6.184652,Remember us social group for people with special needs,Balbriggan,Private Leisure Facility,Indoor Activity,Gym for disabled,No,membership,no email,https://rememberus.ie/,N/A,Indoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,,Free,Could not be fully determined on visit
12rf,53.534222,-6.09692,MUGA Kenure House,Lusk-Rush,Multi-Use Games Areas,"Playground, MUGA, Outdoor Gyms, Tennis",Soccer and basketball,No,free,no email,,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Could not be fully determined on visit,All ages,,Free,Could not be fully determined on visit
13rf,53.523667,-6.109399,Football pitch add  Rush,Lusk-Rush,Outdoor Pitch,Pitch Sport,Soccer,No,membership,no email,,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,,Free,Could not be fully determined on visit
14rf,53.48984,-6.143197,Donabate Portrane communtiy centre,Lusk-Rush,Community Centre,Indoor Activity,Variety,No,membership,no email,,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Entry Fee,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,,Entry Fee,Could not be fully determined on visit
15rf,53.4868108,-6.1330716,St Patricks GAA Pitch,Lusk-Rush,Outdoor Pitch,Pitch Sport,"GAA, football, hurling handball",No,membership,no email,,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,,Annual,Could not be fully determined on visit
16rf,53.48495,-6.129876,St Patricks GAA Pitch,Lusk-Rush,Outdoor Pitch,Pitch Sport,"GAA, football, hurling handball",No,membership,no email,,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,,Annual,Could not be fully determined on visit
17rf,53.485353,-6.1316875,St Patricks GAA - All weather pitch,Lusk-Rush,All Weather Pitch,Pitch Sport,"GAA, football, hurling handball",No,membership,no email,,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,,Annual,Could not be fully determined on visit
18rf,53.400781,-6.247427,Outdoor Gym Equipment,Swords,Outdoor Facility,"Playground, MUGA, Outdoor Gyms, Tennis",Gym,No,free,no email,,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,,Free,Could not be fully determined on visit
19rf,53.408341,-6.244884,Sportslink Outdoor All Weather Pitch,Swords,Outdoor Pitch,Pitch Sport,"GAA, football, hurling handball",No,membership,no email,,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,,Free,Could not be fully determined on visit
